harry-potter-and-the-sorcerers-stone,0.9999997
the-goonies,0.9576293
good-night-and-good-luck,0.93514603
van-helsing,0.9227796
battleship,0.90709686
the-one,0.89943624
flushed-away,0.88498473
true-lies,0.8818661
the-guilt-trip,0.87867916
ready-to-rumble,0.86827886
spirited-away,0.8643598
the-italian-job,0.8547135
best-worst-movie,0.849179
ghost-world,0.84743345
the-village,0.842165
song-of-the-sea,0.827909
scream,0.821136
pulp-fiction,0.8179338
chaplin,0.81792
alien-abduction,0.81284034
need-for-speed,0.8084484
mystery-men,0.8079945
chronicle-2012,0.79934216
my-dog-skip,0.79859155
charlie-and-the-chocolate-factory,0.7961559
logan-2017,0.79109806
instructions-not-included,0.78930336
pokemon-the-movie-2000,0.78856593
black-hawk-down,0.7866594
matchstick-men,0.78629965
timecop,0.78211683
the-fifth-element,0.7817062
monsoon-wedding,0.776336
my-big-fat-greek-wedding-2,0.7758595
war-of-the-worlds,0.7750756
gi-joe-retaliation,0.7744613
the-usual-suspects,0.7670242
interstellar,0.76673573
x-men-the-last-stand,0.76017797
the-lord-of-the-rings-the-two-towers,0.7579676
abraham-lincoln-vampire-hunter,0.75180775
scary-movie-3,0.7510721
the-vow,0.75104576
mission-impossible-ii,0.74801993
king-arthur,0.7469901
the-spongebob-squarepants-movie,0.74509305
the-thin-red-line,0.74252605
blade,0.7411959
hudson-hawk,0.73663425
die-another-day,0.736458
